source,source_date,raw_mention,activity_id,match_type,split
dpr_day_01.txt,2026-08-03,Foundation concreting for pipe rack pedestals P7 to P12,CIV-FDN-1007,exact,dev
dpr_day_01.txt,2026-08-03,Tank TK-1 shell erection,SEQ-TKN-1066,exact,dev
dpr_day_01.txt,2026-08-03,Backfilling around equipment foundation EF-2 and EF-3,CIV-BKL-1012,exact,dev
dpr_day_01.txt,2026-08-03,Equipment foundation for CS-01 concreting,CIV-FND-1018,exact,dev
dpr_day_01.txt,2026-08-03,24 inch main header P-1001 spool erection,PIP-ERC-1030,exact,dev
dpr_day_01.txt,2026-08-03,Pipe rack Tier 2 steel erection,PIP-RCK-1024,exact,dev
dpr_day_01.txt,2026-08-03,12 inch transfer line spool fabrication,PIP-SPL-1026,exact,dev
dpr_day_01.txt,2026-08-03,Vessel V-101 separator arrived,SEQ-VSL-1054,exact,dev
dpr_day_01.txt,2026-08-03,Exchanger E-101 setting on foundation,SEQ-EXC-1059,exact,dev
dpr_day_01.txt,2026-08-03,Earthing grid installation,ELE-GRD-1086,exact,dev
dpr_day_01.txt,2026-08-03,BBS observations,HSE-BBS-1113,exact,dev
dpr_day_01.txt,2026-08-03,NCR opened for improper scaffolding tag,HSE-NCR-1117,exact,dev
dpr_day_01.txt,2026-08-03,Weekly safety stats,HSE-DSH-1121,exact,dev
dpr_day_01.txt,2026-08-03,material delivery status report,NO_MATCH,no_match,dev
dpr_day_02.txt,2026-08-06,"Backfilling equip foundation EF-1, EF-2, EF-3",CIV-BKL-1012,exact,dev
dpr_day_02.txt,2026-08-06,Containment bund wall Zone A,CIV-BND-1013,exact,dev
dpr_day_02.txt,2026-08-06,Drainage channels perimeter,CIV-DWG-1015,exact,dev
dpr_day_02.txt,2026-08-06,24 inch P-1001 spool erection,PIP-ERC-1030,exact,dev
dpr_day_02.txt,2026-08-06,8 inch flare header P-1003 spool fabrication,PIP-SPL-1027,exact,dev
dpr_day_02.txt,2026-08-06,Spool erection 12 inch P-1002,PIP-ERC-1031,exact,dev
dpr_day_02.txt,2026-08-06,V-101 separator jacking,SEQ-VSL-1055,exact,dev
dpr_day_02.txt,2026-08-06,V-102 filter vessel arrived,SEQ-VSL-1056,exact,dev
dpr_day_02.txt,2026-08-06,Compressor skid CS-01 delivery,SEQ-SKD-1062,exact,dev
dpr_day_02.txt,2026-08-06,Level transmitter calibration,INS-TRN-1096,exact,dev
dpr_day_02.txt,2026-08-06,Pressure transmitter calib,INS-TRN-1097,exact,dev
dpr_day_02.txt,2026-08-06,Scaffolding inspection,HSE-SPC-1118,exact,dev
dpr_day_02.txt,2026-08-06,Permits to work issued,HSE-PMT-1116,exact,dev
dpr_day_02.txt,2026-08-06,soil compaction test results submitted,NO_MATCH,no_match,dev
dpr_day_03.txt,2026-08-11,Grade beams pipe rack,CIV-GBM-1014,exact,dev
dpr_day_03.txt,2026-08-11,Firewater pit Zone B,CIV-PLG-1017,exact,dev
dpr_day_03.txt,2026-08-11,Flooring MCC room,CIV-FLR-1020,exact,dev
dpr_day_03.txt,2026-08-11,24 inch P-1001 spool erection,PIP-ERC-1030,exact,dev
dpr_day_03.txt,2026-08-11,4 inch utility water P-1010 spool erection,PIP-ERC-1033,exact,dev
dpr_day_03.txt,2026-08-11,Pipe support installation Tier 1,PIP-SUP-1049,exact,dev
dpr_day_03.txt,2026-08-11,Tier 2 pipe rack steel,PIP-RCK-1024,exact,dev
dpr_day_03.txt,2026-08-11,V-101 separator setting,SEQ-VSL-1055,exact,dev
dpr_day_03.txt,2026-08-11,V-102 filter jacking,SEQ-VSL-1057,exact,dev
dpr_day_03.txt,2026-08-11,Exchanger E-101 nozzle orientation,SEQ-PIP-1074,exact,dev
dpr_day_03.txt,2026-08-11,Pump P-101A delivered,SEQ-PMP-1060,exact,dev
dpr_day_03.txt,2026-08-11,HT cable laying,ELE-CBL-1076,exact,dev
dpr_day_03.txt,2026-08-11,MCC panels installed,ELE-SWG-1082,exact,dev
dpr_day_03.txt,2026-08-11,Transformer TR-01 oil filling,ELE-TRF-1080,exact,dev
dpr_day_03.txt,2026-08-11,Calibrated level transmitters,INS-TRN-1096,exact,dev
dpr_day_03.txt,2026-08-11,"Junction boxes JB-01, JB-02, JB-03 installed",INS-ICS-1104,exact,dev
dpr_day_03.txt,2026-08-11,Transmitter mounting on V-101,INS-FLD-1099,exact,dev
dpr_day_03.txt,2026-08-11,TK-1 shell erection 6th course,SEQ-TKN-1066,exact,dev
dpr_day_03.txt,2026-08-11,24 inch main header P-1002 flange start,NO_MATCH,no_match,dev
dpr_day_04.txt,2026-08-15,8 inch flare header P-1003 spool fabrication,PIP-SPL-1027,exact,dev
dpr_day_04.txt,2026-08-15,6 inch drain header P-1015 fabrication,PIP-SPL-1029,exact,dev
dpr_day_04.txt,2026-08-15,Header skid HS-01 delivered,SEQ-SKD-1064,exact,dev
dpr_day_04.txt,2026-08-15,V-102 filter vessel setting,SEQ-VSL-1057,exact,dev
dpr_day_04.txt,2026-08-15,TK-1 shell erection on 7th course,SEQ-TKN-1066,exact,dev
dpr_day_04.txt,2026-08-15,Pump P-101B delivered,SEQ-PMP-1060,exact,dev
dpr_day_04.txt,2026-08-15,Fire extinguisher audit,HSE-FRE-1119,exact,dev
dpr_day_04.txt,2026-08-15,Independence Day safety briefing,HSE-IND-1112,exact,dev
dpr_day_04.txt,2026-08-15,permit for confined space entry in TK-1,HSE-PMT-1116,exact,dev
dpr_day_05.txt,2026-08-19,Cable tray buried Zone A+B,CIV-APN-1022,exact,dev
dpr_day_05.txt,2026-08-19,Grade beams P8-P12 pour,CIV-GBM-1014,exact,dev
dpr_day_05.txt,2026-08-19,Plastering MCC room walls,CIV-PLT-1021,exact,dev
dpr_day_05.txt,2026-08-19,24 inch P-1001 flange management,PIP-FLG-1035,exact,dev
dpr_day_05.txt,2026-08-19,12 inch P-1002 flange bolt-up,PIP-FLG-1036,exact,dev
dpr_day_05.txt,2026-08-19,12 inch P-1002 hydrotest,PIP-HYT-1041,exact,dev
dpr_day_05.txt,2026-08-19,Pipe support Tier 2,PIP-SUP-1050,exact,dev
dpr_day_05.txt,2026-08-19,CS-01 compressor skid set,SEQ-SKD-1063,exact,dev
dpr_day_05.txt,2026-08-19,HS-01 header skid setting,SEQ-SKD-1065,exact,dev
dpr_day_05.txt,2026-08-19,Pump alignment P-101A,SEQ-ALN-1070,exact,dev
dpr_day_05.txt,2026-08-19,TK-1 shell 8th course completed,SEQ-TKN-1066,exact,dev
dpr_day_05.txt,2026-08-19,HT cable laying complete,ELE-CBL-1076,exact,dev
dpr_day_05.txt,2026-08-19,LT cable laying started,ELE-CBL-1077,exact,dev
dpr_day_05.txt,2026-08-19,Lightning protection pipe rack,ELE-GRD-1087,exact,dev
dpr_day_05.txt,2026-08-19,Temperature transmitters calibrated,INS-TRN-1098,exact,dev
dpr_day_05.txt,2026-08-19,Pressure transmitters calibrated,INS-TRN-1097,exact,dev
dpr_day_05.txt,2026-08-19,Transmitter mounting on V-102,INS-FLD-1099,exact,dev
