source,source_date,raw_mention,activity_id,match_type,mention_date,discipline,split
dpr_day_01.txt,2026-03-11,"Work front opened for Topographic survey and grid establishment, well-site boundary on 8 Mar",CIV-SRV-1001,exact,2026-03-08,civil,test
dpr_day_01.txt,2026-03-11,"Clearing and grubbing, well pad and approach road delayed by 3 days, crane availability",CIV-SRV-1002,exact,,civil,dev
dpr_day_01.txt,2026-03-11,"Approach road widening, OIL main gate to site (Ch 0-400) completed 11/03/2026",CIV-EXC-1049,exact,2026-03-11,civil,train
dpr_day_01.txt,2026-03-11,"Cut and fill to formation level, well pad Unit 2 started this morning",CIV-EXC-1004,exact,,civil,train
dpr_day_01.txt,2026-03-11,"Roadside drain slabs, approach road in progress, 266 of 380 m achieved",CIV-DRA-1051,exact,,civil,test
dpr_day_01.txt,2026-03-11,"Bench marking and centre-line offsets, all areas in progress, about 37% complete, as of 11/Mar/2026",CIV-YRD-1054,exact,2026-03-11,civil,train
dpr_day_01.txt,2026-03-11,"Erection of temporary site office and stores, finished yesterday, JMR raised",HSE-TMP-1040,exact,2026-03-10,hse,dev
dpr_day_01.txt,2026-03-11,Mobilised for Fabrication shed and pipe yard establishment,HSE-TMP-1053,exact,,hse,test
dpr_day_01.txt,2026-03-11,"Extra soak pit constructed for wash bay, variation order raised",NO_MATCH,no_match,,,train
dpr_day_01.txt,2026-03-11,Radiography film review pending with the client inspector,NO_MATCH,no_match,,,dev
dpr_day_02.txt,2026-03-22,"Cut and fill to formation level, well pad Unit 1 — completed on 20 Mar",CIV-EXC-1003,exact,2026-03-20,civil,train
dpr_day_02.txt,2026-03-22,"BC course laying, approach road, finished 23 Mar, JMR raised",CIV-RDS-1050,exact,2026-03-23,civil,dev
dpr_day_02.txt,2026-03-22,"Crusher fines laying, equipment laydown yard under way at the work front",CIV-YRD-1046,exact,,civil,train
dpr_day_02.txt,2026-03-22,"Work front opened for Excavation for flare pit and burn area, manifold south on 23/Mar/2026",CIV-EXC-1030,exact,2026-03-23,civil,train
dpr_day_02.txt,2026-03-22,"Bulk excavation, Unit 2 wellhead cellar — completed on 23 Mar",CIV-EXC-1020,exact,2026-03-23,civil,train
dpr_day_02.txt,2026-03-22,"Excavate unsuitable material, Unit 1 pad stopped, material shortage at store",CIV-EXC-1005,exact,,civil,train
dpr_day_02.txt,2026-03-22,"Place and compact selected fill, Unit 1 pad closed out 25 Mar",CIV-FIL-1006,exact,2026-03-25,civil,train
dpr_day_02.txt,2026-03-22,"Work front opened for Approach road widening, OIL main gate to site (Ch 0-400) on 19/03/2026",CIV-EXC-1049,exact,2026-03-19,civil,train
dpr_day_02.txt,2026-03-22,"Clearing and grubbing, well pad and approach road delayed by 3 days, crane availability",CIV-SRV-1002,exact,,civil,dev
dpr_day_02.txt,2026-03-22,Cut and fill to formation progressing at the 2 location as of 19 Mar,CIV-EXC-1004,near_miss,2026-03-19,civil,train
dpr_day_02.txt,2026-03-22,"Bench marking and centre-line offsets, all areas in progress, about 28% complete",CIV-YRD-1054,exact,,civil,train
dpr_day_02.txt,2026-03-22,Mobilised for Establish emergency muster points and wind socks,HSE-SGN-1044,exact,,hse,train
dpr_day_02.txt,2026-03-22,Install temporary water supply and septic facility closed out 22 Mar 2026,HSE-TMP-1041,exact,2026-03-22,hse,train
dpr_day_02.txt,2026-03-22,Temporary power distribution boards and cabling is done and signed off,HSE-TMP-1042,exact,,hse,dev
dpr_day_02.txt,2026-03-22,"Safety signage and barricading, phase 1 work fronts is done and signed off",HSE-SGN-1043,exact,,hse,train
dpr_day_02.txt,2026-03-22,"Fabrication shed and pipe yard establishment — progress slow, 56% only",HSE-TMP-1053,exact,,hse,dev
dpr_day_02.txt,2026-03-22,"Erection of temporary site office and stores in progress, 49 of 180 m2 achieved",HSE-TMP-1040,exact,,hse,test
dpr_day_02.txt,2026-03-22,"Extra hardstanding for the client vehicle park, not in the BOQ",NO_MATCH,no_match,,,train
dpr_day_02.txt,2026-03-22,Additional signage in Assamese requested by the district administration,NO_MATCH,no_match,,,test
dpr_day_02.txt,2026-03-22,"Safety harness inspection carried out, 4 units condemned",NO_MATCH,no_match,,,test
dpr_day_03.txt,2026-04-01,"Rock breaking and muck disposal, flare stack base held up, awaiting client RFI clearance",CIV-EXC-1031,exact,,civil,train
dpr_day_03.txt,2026-04-01,"Chain-link fencing with posts, site perimeter closed out 30 Mar",CIV-FNC-1032,exact,2026-03-30,civil,train
dpr_day_03.txt,2026-04-01,"Soil erosion protection jute matting, embankment slopes, 113 of 310 m2 complete so far",CIV-DRA-1055,exact,,civil,dev
dpr_day_03.txt,2026-04-01,"Proof roll and level survey, Unit 1 pad formation — 1830 of 2400 m2 done",CIV-FIL-1007,exact,,civil,train
dpr_day_03.txt,2026-04-01,"Geotextile separation layer, Unit 2 pad — closed out this week",CIV-FLR-1022,exact,,civil,train
dpr_day_03.txt,2026-04-01,"Anti-termite treatment and PCC blinding, Unit 2 pad, 470 of 950 m2 complete so far, as of 31 Mar",CIV-FLR-1021,exact,2026-03-31,civil,dev
dpr_day_03.txt,2026-04-01,"Sub-grade preparation, internal access road Unit 1 — completed on 03/04/2026",CIV-RDS-1010,exact,2026-04-03,civil,train
dpr_day_03.txt,2026-04-01,"Crew deployed on Place and compact selected fill, Unit 1 pad",CIV-FIL-1006,exact,,civil,train
dpr_day_03.txt,2026-04-01,"Crusher fines laying, equipment laydown yard — closed out this week",CIV-YRD-1046,exact,,civil,train
dpr_day_03.txt,2026-04-01,"Excavation for flare pit and burn area, manifold south taken up at site",CIV-EXC-1030,exact,,civil,dev
dpr_day_03.txt,2026-04-01,"Mobilised for Excavate unsuitable material, Unit 1 pad",CIV-EXC-1005,exact,,civil,test
dpr_day_03.txt,2026-04-01,"Roadside drain slabs, approach road, 176 of 380 m complete so far",CIV-DRA-1051,exact,,civil,train
dpr_day_03.txt,2026-04-01,"Bulk excavation, Unit 2 wellhead cellar completed 27/Mar/2026",CIV-EXC-1020,exact,2026-03-27,civil,train
dpr_day_03.txt,2026-04-01,Cut and fill to formation progressing at the 1 location as of 30 Mar,CIV-EXC-1003,near_miss,2026-03-30,civil,dev
dpr_day_03.txt,2026-04-01,"Approach road widening, OIL main gate to site (Ch 0-400) stopped, material shortage at store",CIV-EXC-1049,exact,,civil,train
dpr_day_03.txt,2026-04-01,"Cut and fill to formation level, well pad Unit 2 closed out 21/Mar/2026",CIV-EXC-1004,exact,2026-03-21,civil,dev
dpr_day_03.txt,2026-04-01,"BC course laying, approach road delayed by 4 days, crane availability",CIV-RDS-1050,exact,,civil,dev
dpr_day_03.txt,2026-04-01,Temporary power distribution boards and cabling closed out 23 Mar,HSE-TMP-1042,exact,2026-03-23,hse,train
dpr_day_03.txt,2026-04-01,"Install temporary water supply and septic facility, 1 nos out of 1 complete so far",HSE-TMP-1041,exact,,hse,dev
