Treatment Title,Treatment Details,Treatment Stage,Treatment Type,Risk Category,Risk Location,Element Type,Risk Factor,Construction Scope,Associated Activity,data_origin,is_real,source_artifact_id,source_row,annotation_origin,verification_status
Replace all openings required in floor slabs with precast  service openings.,,Preliminary Design,Eliminate,Fall-From open edge,High Level-Near Opening,Slab,Physical-Opening,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,1,source_published_record,source_published_record_unreviewed
Avoid holes - consider alternatives to achieve design purposes.,,Preliminary Design,Eliminate,Fall-From open edge,High Level-Near Opening,Slab,Physical-Opening,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,2,source_published_record,source_published_record_unreviewed
Consider use of transition blocks for services to pass through.,,Preliminary Design,Eliminate,Fall-From open edge,High Level-Near Opening,Slab,Physical-Opening,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,3,source_published_record,source_published_record_unreviewed
Consider Steel frame construction with composite floor slabs,,Preliminary Design,Eliminate,Fall-From open edge,High Level-Near Opening,Slab,Physical-Opening,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,4,source_published_record,source_published_record_unreviewed
Design alternative solutions to the opening ,,Preliminary Design,Eliminate,Fall-From open edge,High Level-Near Opening,Slab,Physical-Opening,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,5,source_published_record,source_published_record_unreviewed
Combine multiple penetrations in to lesser number,,Preliminary Design,Eliminate,Fall-From open edge,High Level-Near Opening,Slab,Physical-Opening,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,6,source_published_record,source_published_record_unreviewed
Cast in mesh in openings to reduce risk of person falling through.,,Preliminary Design,Reduce,Fall-From open edge,High Level-Near Opening,Slab,Physical-Opening,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,7,source_published_record,source_published_record_unreviewed
Reduce hole sizes.,,Preliminary Design,Reduce,Fall-From open edge,High Level-Near Opening,Slab,Physical-Opening,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,8,source_published_record,source_published_record_unreviewed
Consider forming full slab and cutting out openings when needed,,Preliminary Design,Reduce,Fall-From open edge,High Level-Near Opening,Slab,Physical-Opening,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,9,source_published_record,source_published_record_unreviewed
Consider Location of penetration,,Preliminary Design,Reduce,Fall-From open edge,High Level-Near Opening,Slab,Physical-Opening,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,10,source_published_record,source_published_record_unreviewed
Group small floor openings together to create one large opening.,,Preliminary Design,Control by subsequent design,Fall-From open edge,High Level-Near Opening,Slab,Physical-Opening,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,11,source_published_record,source_published_record_unreviewed
"Locate floor openings away from passageways, work areas, and the structure perimeter.",,Preliminary Design,Control by subsequent design,Fall-From open edge,High Level-Near Opening,Slab,Physical-Opening,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,12,source_published_record,source_published_record_unreviewed
Engage Structural engineer with architects to assist in design of handrail and guard elements.,,Preliminary Design,Inform,Fall-From open edge,High Level-Near Opening,Slab,Physical-Opening,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,13,source_published_record,source_published_record_unreviewed
Engage with contractors and temp. works at appointment.,,Preliminary Design,Inform,Fall-From open edge,High Level-Near Opening,Slab,Physical-Opening,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,14,source_published_record,source_published_record_unreviewed
Avoid low walls in circulation areas.,,Detail Design,Eliminate,Fall-From open edge,High Level-Near Opening,Slab,Physical-Opening,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,15,source_published_record,source_published_record_unreviewed
