source,source_date,raw_mention,activity_id,match_type,mention_date,discipline,split,near_miss_kind,missing_discriminator,confusable_with,drift_kind
drift_bench_v1,2026-03-03,Survey gang finished grid and level marks along the site boundary,CIV-SRV-1001,terminology_drift,,civil,test,,,,paraphrase
drift_bench_v1,2026-03-10,"JCB clearing done up to the approach, stumps and topsoil removed",CIV-SRV-1002,terminology_drift,,civil,test,,,,terminology
drift_bench_v1,2026-03-21,"U1 pad cut and fill brought to formation, levels checked",CIV-EXC-1003,terminology_drift,,civil,test,,,CIV-EXC-1004,paraphrase
drift_bench_v1,2026-03-13,Unit 2 pad filled and cut to formation level today,CIV-EXC-1004,terminology_drift,,civil,test,,,CIV-EXC-1003,paraphrase
drift_bench_v1,2026-03-21,Bad soil dug out and carted away from the U1 pad,CIV-EXC-1005,terminology_drift,,civil,test,,,,terminology
drift_bench_v1,2026-03-26,Fill soil placed and rolled in layers on the Unit 1 pad,CIV-FIL-1006,terminology_drift,,civil,test,,,,terminology
drift_bench_v1,2026-03-24,Crusher dust spread and levelled in the laydown yard,CIV-YRD-1046,terminology_drift,,civil,test,,,,terminology
drift_bench_v1,2026-03-12,Widening of the gate-to-site road done up to chainage 400,CIV-EXC-1049,terminology_drift,,civil,test,,,,paraphrase
drift_bench_v1,2026-03-24,Bituminous carpet laid on the approach road today,CIV-RDS-1050,terminology_drift,,civil,test,,,,terminology
drift_bench_v1,2026-03-15,Drain slabs cast along the roadside near the gate,CIV-DRA-1051,terminology_drift,,civil,test,,,,paraphrase
drift_bench_v1,2026-04-21,Chain link mesh fixed along the full road stretch,CIV-FNC-1052,terminology_drift,,civil,test,,,,terminology
drift_bench_v1,2026-03-28,Jute matting laid on the embankment slopes against washout,CIV-DRA-1055,terminology_drift,,civil,test,,,,terminology
drift_bench_v1,2026-04-04,Subgrade rolling completed for the internal road in U1,CIV-RDS-1010,terminology_drift,,civil,test,,,,terminology
drift_bench_v1,2026-04-14,GSB and wet mix macadam laid on the internal road,CIV-RDS-1011,terminology_drift,,civil,test,,,,terminology
drift_bench_v1,2026-04-15,WMM compacted up to chainage 160 on the U1 road,CIV-RDS-1012,terminology_drift,,civil,test,,,CIV-RDS-1013,sibling_hard
drift_bench_v1,2026-04-19,"Second stretch of wet mix finished, Ch 160 to 320",CIV-RDS-1013,terminology_drift,,civil,test,,,CIV-RDS-1012,sibling_hard
drift_bench_v1,2026-04-07,Precast drain sections placed around the U1 wellhead,CIV-DRA-1014,terminology_drift,,civil,test,,,,paraphrase
drift_bench_v1,2026-04-19,Two culverts lowered at the road crossing,CIV-DRA-1015,terminology_drift,,civil,test,,,,paraphrase
drift_bench_v1,2026-03-24,Mass digging finished for the Unit 2 wellhead cellar,CIV-EXC-1020,terminology_drift,,civil,test,,,,terminology
drift_bench_v1,2026-04-03,Anti-termite spray and blinding concrete done on the U2 pad,CIV-FLR-1021,terminology_drift,,civil,test,,,CIV-FLR-1022,paraphrase
drift_bench_v1,2026-04-04,Geotextile sheet spread over the Unit 2 pad area,CIV-FLR-1022,terminology_drift,,civil,test,,,CIV-FLR-1021,paraphrase
drift_bench_v1,2026-03-24,"Digging for the flare pit and burn area completed, south of manifold",CIV-EXC-1030,terminology_drift,,civil,test,,,,terminology
drift_bench_v1,2026-03-31,Rock broken and debris cleared at the FST-1301 base,CIV-EXC-1031,terminology_drift,,civil,test,,,CIV-FDN-1126,terminology
drift_bench_v1,2026-03-31,Perimeter fencing posts and mesh completed,CIV-FNC-1032,terminology_drift,,civil,test,,,CIV-FNC-1052,terminology
drift_bench_v1,2026-04-17,Main and emergency exit gates fixed today,CIV-FNC-1033,terminology_drift,,civil,test,,,,paraphrase
drift_bench_v1,2026-03-11,Bench marks and centre-line offsets given all over site,CIV-YRD-1054,terminology_drift,,civil,test,,,,paraphrase
drift_bench_v1,2026-03-11,Porta cabins for site office and store put up,HSE-TMP-1040,terminology_drift,,hse,test,,,,terminology
drift_bench_v1,2026-03-20,Temporary water supply and septic tank commissioned,HSE-TMP-1041,terminology_drift,,hse,test,,,,paraphrase
drift_bench_v1,2026-03-21,Temp power boards and site cabling arranged,HSE-TMP-1042,terminology_drift,,hse,test,,,,paraphrase
drift_bench_v1,2026-03-20,Sign boards and barricades placed at the phase 1 fronts,HSE-SGN-1043,terminology_drift,,hse,test,,,HSE-SGN-1044,paraphrase
drift_bench_v1,2026-03-26,Muster points and windsocks set up at site,HSE-SGN-1044,terminology_drift,,hse,test,,,HSE-SGN-1043,terminology
drift_bench_v1,2026-03-13,Fab shed and pipe yard ready for use,HSE-TMP-1053,terminology_drift,,hse,test,,,,paraphrase
drift_bench_v1,2026-04-11,"Pit digging for V-1101, V-1201 foundations and wellhead plinths completed",CIV-EXC-1100,terminology_drift,,civil,test,,,CIV-EXC-1115,terminology
drift_bench_v1,2026-04-19,PCC blinding done below the V-1101 and V-1201 footings,CIV-FDN-1101,terminology_drift,,civil,test,,,,paraphrase
drift_bench_v1,2026-04-24,Rebar tied and placed for the separator foundation at V-1101,CIV-FDN-1102,terminology_drift,,civil,test,,,CIV-FDN-1103,terminology
drift_bench_v1,2026-05-01,Formwork fixed and M25 poured for the V-1101 separator base,CIV-FDN-1103,terminology_drift,,civil,test,,,CIV-FDN-1102,terminology
drift_bench_v1,2026-05-05,"Curing started on the V-1101 foundation, wet hessian kept for 7 days",CIV-FDN-1104,terminology_drift,,civil,test,,,,terminology
drift_bench_v1,2026-05-13,Anchor bolts set on the separator skid base at V-1101,CIV-FDN-1105,terminology_drift,,civil,test,,,CIV-FDN-1108,paraphrase
drift_bench_v1,2026-05-16,Grouting of the V-1101 base ring completed with non-shrink grout,CIV-FDN-1106,terminology_drift,,civil,test,,,CIV-FDN-1109,paraphrase
drift_bench_v1,2026-04-21,Steel and concrete work finished for the glycol contactor base V-1201,CIV-FDN-1107,terminology_drift,,civil,test,,,,terminology
drift_bench_v1,2026-04-25,Bolt template set and surveyed at V-1201,CIV-FDN-1108,terminology_drift,,civil,test,,,CIV-FDN-1105|CIV-FDN-1127,paraphrase
drift_bench_v1,2026-05-04,Base ring grout filled at V-1201,CIV-FDN-1109,terminology_drift,,civil,test,,,CIV-FDN-1106,terminology
drift_bench_v1,2026-04-25,Concrete plinths cast for WHP-1101 and WHP-1102,CIV-FDN-1110,terminology_drift,,civil,test,,,,paraphrase
drift_bench_v1,2026-05-05,Kerb stones cast around the U1 wellhead cellar,CIV-FDN-1111,terminology_drift,,civil,test,,,,paraphrase
drift_bench_v1,2026-04-09,Foundation pits dug for V-2101 and the WHCP in Unit 2,CIV-EXC-1115,terminology_drift,,civil,test,,,CIV-EXC-1100,terminology
drift_bench_v1,2026-04-17,WHCP-2101 base cast and finished today,CIV-FDN-1116,terminology_drift,,civil,test,,,,paraphrase
drift_bench_v1,2026-04-18,V-2101 separator base: steel fixed and concrete poured,CIV-FDN-1117,terminology_drift,,civil,test,,,CIV-FDN-1118,terminology
drift_bench_v1,2026-04-24,Wet curing begun on the V-2101 foundation,CIV-FDN-1118,terminology_drift,,civil,test,,,CIV-FDN-1117|CIV-FDN-1104,terminology
drift_bench_v1,2026-05-02,Skid grouting done at V-2101,CIV-FDN-1119,terminology_drift,,civil,test,,,,paraphrase
drift_bench_v1,2026-04-24,Plinth cast for the test separator V-2201 at Unit 2,CIV-FDN-1120,terminology_drift,,civil,test,,,,paraphrase
drift_bench_v1,2026-04-08,Small footings cast for the MV-1101 to MV-1108 block valves,CIV-FDN-1125,terminology_drift,,civil,test,,,,paraphrase
drift_bench_v1,2026-04-07,FST-1301 base concrete and guy anchor blocks done,CIV-FDN-1126,terminology_drift,,civil,test,,,CIV-EXC-1031,terminology
drift_bench_v1,2026-04-11,Bolts set with template at the flare stack base,CIV-FDN-1127,terminology_drift,,civil,test,,,CIV-FDN-1108,terminology
drift_bench_v1,2026-04-14,Ring wall for tank TK-2101 concreted,CIV-FDN-1150,terminology_drift,,civil,test,,,CIV-FDN-1152,paraphrase
drift_bench_v1,2026-04-23,Annular plates levelled and grout bed laid under the TK-2101 shell,CIV-FDN-1151,terminology_drift,,civil,test,,,,terminology
drift_bench_v1,2026-04-18,TK-2102 ring wall pour finished,CIV-FDN-1152,terminology_drift,,civil,test,,,CIV-FDN-1150,sibling_hard
drift_bench_v1,2026-04-14,Pit shuttering and concrete completed for the oil-water separator,CIV-FDN-1153,terminology_drift,,civil,test,,,,paraphrase
drift_bench_v1,2026-04-21,Bund wall raised around the tank farm,CIV-FDN-1154,terminology_drift,,civil,test,,,,terminology
drift_bench_v1,2026-04-21,Sewer line laid from the tank farm to the OWS,PIP-UGS-1155,terminology_drift,,piping,test,,,,terminology
drift_bench_v1,2026-04-21,Catch pits and chambers built at the OWS outfall,PIP-UGS-1156,terminology_drift,,piping,test,,,,paraphrase
drift_bench_v1,2026-05-07,Substation building plinth concrete completed,CIV-FDN-1160,terminology_drift,,civil,test,,,CIV-FDN-1162,paraphrase
drift_bench_v1,2026-05-20,Brick work taken up to roof level for the control building,CIV-BLD-1161,terminology_drift,,civil,test,,,,terminology
drift_bench_v1,2026-05-12,Plinths cast for both transformers and trenches excavated,CIV-FDN-1162,terminology_drift,,civil,test,,,CIV-FDN-1160,terminology
drift_bench_v1,2026-04-21,Footings for rack sleepers and columns cast in Module 1,CIV-FDN-1165,terminology_drift,,civil,test,,,CIV-FDN-1166|CIV-FDN-1167,sibling_hard
drift_bench_v1,2026-04-28,Rack footing concrete done between Ch 40 and 80,CIV-FDN-1166,terminology_drift,,civil,test,,,CIV-FDN-1165|CIV-FDN-1167,sibling_hard
drift_bench_v1,2026-05-05,Third module footings for the pipe rack finished,CIV-FDN-1167,terminology_drift,,civil,test,,,CIV-FDN-1165|CIV-FDN-1166,sibling_hard
drift_bench_v1,2026-05-19,"Cable trench built with precast cover slabs, U1 to substation",CIV-UGS-1180,terminology_drift,,civil,test,,,CIV-UGS-1181,paraphrase
drift_bench_v1,2026-05-22,Trench with covers completed from Unit 2 to the s/s,CIV-UGS-1181,terminology_drift,,civil,test,,,CIV-UGS-1180,sibling_hard
drift_bench_v1,2026-05-24,Sand bedding and warning tiles laid in the cable routes,CIV-UGS-1182,terminology_drift,,civil,test,,,,paraphrase
drift_bench_v1,2026-06-07,V-1101 separator received from laydown and shifted to position,STA-SET-1200,terminology_drift,,static_equipment,test,,,STA-SET-1201,paraphrase
drift_bench_v1,2026-06-10,V-1101 lifted and placed on its foundation by crane,STA-SET-1201,terminology_drift,,static_equipment,test,,,STA-SET-1200|STA-SET-1210,terminology
drift_bench_v1,2026-06-11,"V-1101 levelled, aligned and hold-down bolts torqued",STA-SET-1202,terminology_drift,,static_equipment,test,,,,terminology
drift_bench_v1,2026-06-13,Glycol contactor vessel erected at Unit 1,STA-SET-1203,terminology_drift,,static_equipment,test,,,,terminology
drift_bench_v1,2026-05-06,Manifold headers positioned and set at Unit 1,STA-SET-1204,terminology_drift,,static_equipment,test,,,,paraphrase
drift_bench_v1,2026-05-09,"Welding of the U1 manifold spools completed, 12 joints",STA-WLD-1205,terminology_drift,,static_equipment,test,,,PIP-WLD-1313,paraphrase
drift_bench_v1,2026-05-08,Flowline risers put in at both wellheads,STA-SET-1206,terminology_drift,,static_equipment,test,,,,paraphrase
drift_bench_v1,2026-06-16,Fuel gas skid placed on the utilities plinth,STA-SET-1207,terminology_drift,,static_equipment,test,,,,paraphrase
drift_bench_v1,2026-05-06,V-2101 vessel set on its support at Unit 2,STA-SET-1210,terminology_drift,,static_equipment,test,,,STA-SET-1211|STA-SET-1201,terminology
drift_bench_v1,2026-05-01,Test separator positioned in Unit 2,STA-SET-1211,terminology_drift,,static_equipment,test,,,STA-SET-1210,sibling_hard
drift_bench_v1,2026-04-24,Wellhead control panel skid lifted into place,STA-SET-1212,terminology_drift,,static_equipment,test,,,,paraphrase
drift_bench_v1,2026-05-12,Demister pads and internals fitted inside V-2101,STA-INT-1213,terminology_drift,,static_equipment,test,,,STA-INT-1214,terminology
drift_bench_v1,2026-05-05,Trays and demister fitted to the test separator,STA-INT-1214,terminology_drift,,static_equipment,test,,,STA-INT-1213,sibling_hard
drift_bench_v1,2026-05-12,Air receiver installed in the utilities area,STA-SET-1215,terminology_drift,,static_equipment,test,,,,paraphrase
drift_bench_v1,2026-05-14,Compressor package PK-2401 positioned on its plinth,STA-MCH-1216,terminology_drift,,static_equipment,test,,,,paraphrase
drift_bench_v1,2026-05-19,Compressor and receiver aligned and coupled,STA-MCH-1217,terminology_drift,,static_equipment,test,,,STA-MCH-1241,terminology
drift_bench_v1,2026-04-23,Flare stack sections assembled in the shop,STA-FLR-1220,terminology_drift,,static_equipment,test,,,STA-FLR-1221,paraphrase
drift_bench_v1,2026-05-01,Flare stack raised vertical with guys tensioned,STA-FLR-1221,terminology_drift,,static_equipment,test,,,STA-FLR-1220,terminology
drift_bench_v1,2026-04-23,Knock-out drum V-1401 set near the flare,STA-FLR-1222,terminology_drift,,static_equipment,test,,,,terminology
drift_bench_v1,2026-05-05,Flare tip with molecular seal fitted on top of the stack,STA-FLR-1223,terminology_drift,,static_equipment,test,,,STA-FLR-1224,paraphrase
drift_bench_v1,2026-05-06,Ignition panel and pilot line hooked up at the flare,STA-FLR-1224,terminology_drift,,static_equipment,test,,,STA-FLR-1223,sibling_hard
drift_bench_v1,2026-05-26,First three shell courses of TK-2101 erected,STA-TNK-1230,terminology_drift,,static_equipment,test,,,STA-TNK-1231|STA-TNK-1232,paraphrase
drift_bench_v1,2026-06-01,Wind girder fitted at course 3 of TK-2101,STA-TNK-1232,terminology_drift,,static_equipment,test,,,STA-TNK-1230,terminology
drift_bench_v1,2026-06-06,Roof structure of TK-2101 erected with fittings,STA-TNK-1233,terminology_drift,,static_equipment,test,,,STA-TNK-1234,paraphrase
drift_bench_v1,2026-05-03,TK-2102 shell and roof work completed,STA-TNK-1234,terminology_drift,,static_equipment,test,,,STA-TNK-1233,sibling_hard
drift_bench_v1,2026-05-18,Internal floating deck assembled inside TK-2102,STA-TNK-1235,terminology_drift,,static_equipment,test,,,,terminology
drift_bench_v1,2026-06-10,Nozzles and manways fitted on both storage tanks,STA-TNK-1236,terminology_drift,,static_equipment,test,,,,paraphrase
drift_bench_v1,2026-05-26,Crude pumps P-1401A and B set on the baseplate,STA-MCH-1240,terminology_drift,,static_equipment,test,,,STA-MCH-1241,paraphrase
drift_bench_v1,2026-05-29,Pump couplings aligned for P-1401A/B,STA-MCH-1241,terminology_drift,,static_equipment,test,,,STA-MCH-1242|STA-MCH-1217,terminology
drift_bench_v1,2026-05-30,Motors mounted and hold-down bolts torqued on the crude pumps,STA-MCH-1242,terminology_drift,,static_equipment,test,,,STA-MCH-1241,terminology
drift_bench_v1,2026-07-01,Chemical skids placed at wellhead U1/U2,STA-SET-1243,terminology_drift,,static_equipment,test,,,,paraphrase
