row_id,source_file,source_date,proposed_activity_ids,expected_activity_ids,correct_proposed_ids,incorrect_proposed_ids,omitted_expected_ids,exact_set_verdict,review_confidence,rationale,data_origin,is_real,annotation_origin,verification_status
1,IDR-2011-02-10.pdf,2011-02-10,1055,"1055;1065",1055,,1065,INCOMPLETE,high,"The DPR explicitly says both confined and unconfined bubble curtains were tested. Activity 1055 covers unconfined; 1065 covers confined and was omitted.",real,true,assistant_manual_pdf_and_schedule_review,assistant_reviewed_pending_owner_confirmation
2,IDR-2011-02-11-2.pdf,2011-02-11,"1060;1050","1050;1060","1050;1060",,,CORRECT,high,"The DPR explicitly reports mobilizing to Site A and installing pile A-1. Both matching schedule activities were proposed.",real,true,assistant_manual_pdf_and_schedule_review,assistant_reviewed_pending_owner_confirmation
3,IDR-2011-02-11-TN.pdf,2011-02-11,"1060;1055;1130","1050;1055;1060","1055;1060",1130,1050,WRONG_AND_INCOMPLETE,medium,"The DPR reports initial mobilization/movement to Site A, installation of A-1, and work with the unconfined curtain. ID 1050 is the applicable move-to-A activity at this stage; 1130 is the later return to A after Location B. Structure survey and dynamic pile testing have no distinct activities in this 27-activity schedule.",real,true,assistant_manual_pdf_and_schedule_review,assistant_reviewed_pending_owner_confirmation
4,IDR-2011-02-12-TN.pdf,2011-02-12,"1080;1055","1055;1080","1055;1080",,,CORRECT,medium,"The DPR explicitly reports installing pile A-3 and installing the unconfined curtain system. The schedule represents that curtain work under activity 1055 TEST UNCONFINED BUBBLE CURTAIN; survey and dynamic testing have no separate schedule activities.",real,true,assistant_manual_pdf_and_schedule_review,assistant_reviewed_pending_owner_confirmation
5,IDR-2011-02-12.pdf,2011-02-12,1080,1080,1080,,,CORRECT,high,"The DPR explicitly reports installation of test pile A-3; activity 1080 is an exact identity match.",real,true,assistant_manual_pdf_and_schedule_review,assistant_reviewed_pending_owner_confirmation
6,IDR-2011-02-14.pdf,2011-02-14,"1140;1180;1070","1070;1140;1180","1070;1140;1180",,,CORRECT,high,"The DPR reports restriking A-1, removing an A-location pile, and installing A-2. All three matching schedule activities were proposed; survey and dynamic testing have no separate schedule activities.",real,true,assistant_manual_pdf_and_schedule_review,assistant_reviewed_pending_owner_confirmation
7,IDR-2011-02-15.pdf,2011-02-15,"1160;1180;1090","1090;1160;1180","1090;1160;1180",,,CORRECT,high,"The DPR reports restriking A-3, attempting removal of A-3, and installing A-4. The failed extraction attempt is still work under the A-location pile-removal activity.",real,true,assistant_manual_pdf_and_schedule_review,assistant_reviewed_pending_owner_confirmation
8,IDR-2011-02-16-TN.pdf,2011-02-16,"1120;1065","1065;1120","1065;1120",,,CORRECT,medium,"The DPR reports installing B-2 and installing the confined bubble-curtain system. The schedule represents the confined-curtain work under activity 1065 TEST CONFINED BUBBLE CURTAIN; survey and dynamic testing have no separate activities.",real,true,assistant_manual_pdf_and_schedule_review,assistant_reviewed_pending_owner_confirmation
9,IDR-2011-02-16.pdf,2011-02-16,1120,"1100;1120",1120,,1100,INCOMPLETE,high,"The DPR explicitly reports both moving the barge to the Washington/Location B side and installing B-2. Activity 1100 MOVE TO LOCATION B was omitted.",real,true,assistant_manual_pdf_and_schedule_review,assistant_reviewed_pending_owner_confirmation
10,IDR-2011-02-17-TN.pdf,2011-02-17,"1110;1150;1180;1065","1065;1110;1130;1150;1180","1065;1110;1150;1180",,1130,INCOMPLETE,high,"The DPR reports installing B-1, confined-curtain work, restriking A-2, moving from B back to A, and removing A-2. Activity 1130 MOVE TO LOCATION A was omitted.",real,true,assistant_manual_pdf_and_schedule_review,assistant_reviewed_pending_owner_confirmation
11,IDR-2011-02-17.pdf,2011-02-17,1110,"1110;1130",1110,,1130,INCOMPLETE,medium,"The DPR reports installing B-1 and moving the barge to the Oregon/Location A side. It states that restrikes and removal are the purpose of the move, not necessarily completed in this summary, so only the move activity 1130 is added.",real,true,assistant_manual_pdf_and_schedule_review,assistant_reviewed_pending_owner_confirmation
12,IDR-2011-02-18.pdf,2011-02-18,"1180;1170","1170;1180","1170;1180",,,CORRECT,high,"The DPR explicitly reports removal of A-location piles and a restrike of A-4. Both matching activities were proposed.",real,true,assistant_manual_pdf_and_schedule_review,assistant_reviewed_pending_owner_confirmation
13,IDR-2011-02-21.pdf,2011-02-21,"1210;1220","1200;1210;1220","1210;1220",,1200,INCOMPLETE,high,"The DPR explicitly reports restriking both B-2 and B-1 and removing both. Activity 1200 RESTRIKE PILE B-1 was omitted.",real,true,assistant_manual_pdf_and_schedule_review,assistant_reviewed_pending_owner_confirmation
